example_id                                                 | status  | run_time        |
./spec/models/gateway/pin_gateway_spec.rb[1:2]             | passed  | 1.21 seconds    |
./spec/models/gateway/pin_gateway_spec.rb[1:3]             | passed  | 1.12 seconds    |
./spec/models/gateway/sage_pay_spec.rb[1:1:1]              | passed  | 0.02302 seconds |
./spec/models/gateway/secure_pay_au_spec.rb[1:1:1]         | passed  | 0.02018 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:1:1:1]      | passed  | 0.00464 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:1:2:1]      | passed  | 0.03205 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:1:2:2:1]    | passed  | 0.00418 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:1:2:2:2]    | passed  | 0.00429 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:1:2:2:3]    | passed  | 0.00562 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:1:3:1]      | passed  | 0.0038 seconds  |
./spec/models/gateway/stripe_gateway_spec.rb[1:2:1]        | passed  | 0.00292 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:3:1]        | passed  | 0.08537 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:4:1]        | passed  | 0.00412 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:4:2]        | passed  | 0.00369 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:5:1:1]      | passed  | 0.08808 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:5:1:2]      | passed  | 0.0934 seconds  |
./spec/models/gateway/stripe_gateway_spec.rb[1:5:2:1]      | passed  | 0.09439 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:5:2:2]      | passed  | 1.31 seconds    |
./spec/models/gateway/stripe_gateway_spec.rb[1:6:1]        | passed  | 0.13997 seconds |
./spec/models/gateway/usa_epay_spec.rb[1:1:1]              | pending | 0.07769 seconds |
./spec/models/gateway/usa_epay_spec.rb[1:2:1]              | passed  | 0.09296 seconds |
./spec/models/gateway/worldpay_spec.rb[1:1:1]              | passed  | 0.023 seconds   |
